prog_n,ntasks,kw_stat,p_value
100,2,0.4315068493150685,0.9336597026506824
100,4,0.07653061224490232,0.9944967103830213
100,8,0.01722222222224963,0.9994019880817929
100,16,0.004097294485013407,0.9999303324066404
100,32,0.0009999370118708758,0.9999915928751693
100,64,0.0006881840872896676,0.999995199504293
250,2,0.38888888888888745,0.9425281046530495
250,4,0.08587786259542782,0.9934765212699697
250,8,0.01722222222224963,0.9994019880817929
250,16,0.004097294485013407,0.9999303324066404
250,32,0.0028228064514531303,0.9999601459272119
250,64,0.0005019525073459859,0.9999970094755941
500,2,0.4315068493150685,0.9336597026506824
500,4,0.07653061224490232,0.9944967103830213
500,8,0.01722222222224963,0.9994019880817929
500,16,0.004097294485013407,0.9999303324066404
500,32,0.0011248937110196297,0.9999899691096266
500,64,0.0006881840872896676,0.999995199504293
1000,2,0.3,0.9600284803068776
1000,4,0.08587786259542782,0.9934765212699697
1000,8,0.0,1.0
1000,16,0.01188916509889428,0.9996564441481994
1000,32,0.0009999370118708758,0.9999915928751693
1000,64,0.0001862550410986221,0.999999323984593
